iter	RMSE
962	40.96785407
963	40.94984618
964	40.91366798
965	40.90767858
966	40.87515491
967	40.86225411
968	40.83532132
969	40.82654271
970	40.80913275
971	40.80698378
972	40.77614587
973	40.74151087
974	40.72350579
975	40.69949749
976	40.67500997
977	40.64678739
978	40.61845936
979	40.59665042
980	40.57594382
981	40.53647583
982	40.49070657
983	40.45013069
984	40.411693
985	40.37682483
986	40.35860066
987	40.33337732
988	40.30942046
989	40.29651065
990	40.27354667
991	40.25624764
992	40.21841737
993	40.19982539
994	40.17614886
995	40.15134604
996	40.13171392
997	40.10851661
998	40.06890488
999	40.05565727
